3.871,123.147,-3.602,0.597,-0.753,0.276
4.912,121.835,-3.122,0.51,-0.827,0.235
5.8,120.395,-2.713,0.337,-0.929,0.152
6.384,118.781,-2.449,0.035,-0.999,0.012
6.446,117.049,-2.428,-0.247,-0.962,-0.113
6.015,115.376,-2.625,-0.392,-0.904,-0.172
5.333,113.802,-2.924,-0.451,-0.871,-0.193
4.547,112.283,-3.26,-0.472,-0.859,-0.199
3.725,110.786,-3.607,-0.014,-1.0,-0.007
2.348,15.651,-4.285,-0.029,1.0,-0.013
-0.906,128.111,-5.702,0.716,-0.634,0.294
0.374,126.977,-5.176,0.701,-0.645,0.305
1.629,125.823,-4.629,0.681,-0.664,0.308
2.849,124.634,-4.078,0.654,-0.694,0.301
4.019,123.392,-3.539,0.612,-0.738,0.284
5.115,122.072,-3.03,0.54,-0.804,0.25
6.08,120.634,-2.582,0.389,-0.904,0.177
6.774,119.021,-2.266,0.077,-0.997,0.03
6.911,117.251,-2.213,-0.263,-0.957,-0.123
6.441,115.544,-2.432,-0.433,-0.881,-0.192
5.667,113.968,-2.775,-0.497,-0.841,-0.215
4.777,112.464,-3.159,-0.519,-0.825,-0.221
3.847,110.986,-3.555,-0.005,-1.0,-0.003
3.327,14.516,-3.843,-0.037,0.999,-0.016
-0.906,128.462,-5.702,0.713,-0.638,0.29
0.45,127.249,-5.15,0.7,-0.645,0.305
1.782,126.022,-4.57,0.683,-0.662,0.31
3.079,124.764,-3.981,0.658,-0.689,0.305
4.329,123.454,-3.4,0.62,-0.729,0.29
5.508,122.068,-2.848,0.555,-0.791,0.259
6.562,120.566,-2.357,0.409,-0.893,0.187
7.338,118.874,-2.003,0.048,-0.999,0.014
7.428,116.997,-1.975,-0.349,-0.923,-0.163
6.767,115.249,-2.284,-0.508,-0.831,-0.226
5.801,113.67,-2.714,-0.561,-0.792,-0.243
4.735,112.165,-3.176,-0.576,-0.779,-0.247
3.639,110.684,-3.644,0.006,-1.0,0.002
4.206,13.288,-3.444,-0.044,0.999,-0.02
-0.906,128.812,-5.702,0.711,-0.643,0.285
0.515,127.527,-5.132,0.7,-0.646,0.305
1.913,126.236,-4.522,0.684,-0.659,0.313
3.281,124.918,-3.898,0.662,-0.682,0.31
4.605,123.555,-3.278,0.632,-0.716,0.298
5.868,122.125,-2.682,0.583,-0.765,0.274
7.033,120.597,-2.134,0.479,-0.85,0.22
7.988,118.902,-1.695,0.123,-0.991,0.046
8.23,116.957,-1.605,-0.408,-0.892,-0.195
